abbreviation,company_name,sector,country
UNP,Union Pacific Corporation,Industrials,United States
UPS,"United Parcel Service, Inc.",Industrials,United States
URI,"United Rentals, Inc.",Industrials,United States
USB,U.S. Bancorp,Financial Services,United States
VFC,V.F. Corporation,Consumer Cyclical,United States
VLO,Valero Energy Corporation,Energy,United States
VMC,Vulcan Materials Company (Holdi,Basic Materials,United States
VNO,Vornado Realty Trust,Real Estate,United States
VRSK,"Verisk Analytics, Inc.",Industrials,United States
VRSN,"VeriSign, Inc.",Technology,United States
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,United States
VTR,"Ventas, Inc.",Real Estate,United States
VZ,Verizon Communications Inc.,Communication Services,United States
V,Visa Inc.,Financial Services,United States
WAT,Waters Corporation,Healthcare,United States
WBA,"Walgreens Boots Alliance, Inc.",Healthcare,United States
WDC,Western Digital Corporation,Technology,United States
WEC,"WEC Energy Group, Inc.",Utilities,United States
WFC,Wells Fargo & Company,Financial Services,United States
WHR,Whirlpool Corporation,Consumer Cyclical,United States
WMB,"Williams Companies, Inc. (The)",Energy,United States
WMT,Walmart Inc.,Consumer Defensive,United States
WM,"Waste Management, Inc.",Industrials,United States
WU,Western Union Company (The),Financial Services,United States
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,United States
WY,Weyerhaeuser Company,Real Estate,United States
XEL,Xcel Energy Inc.,Utilities,United States
XOM,Exxon Mobil Corporation,Energy,United States
XRAY,DENTSPLY SIRONA Inc.,Healthcare,United States
XRX,Xerox Holdings Corporation,Technology,United States
XYL,Xylem Inc.,Industrials,United States
YUM,"Yum! Brands, Inc.",Consumer Cyclical,United States
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,United States
ZION,Zions Bancorporation N.A.,Financial Services,United States
ZTS,Zoetis Inc.,Healthcare,United States
